# Upyr boundary replay corpus v1.
# Spaces are materialized as U+2420 (␠); every decision snapshot ends at Space.
# Physical fields use English key legends and are intentionally not regenerated by the test.
# id	group	category	split	tags	mapping_profile	source_layout	physical_word	physical_context	observed_context	intended_context	expected_action	expected_direction
wrong-uk-en-017	en-model	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	model	model␠	ьщвуд␠	model␠	correct	ukrainian-to-english
wrong-uk-en-018	en-benchmark	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	benchmark	benchmark␠	иутсрьфкл␠	benchmark␠	correct	ukrainian-to-english
wrong-uk-en-019	en-context	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	context	context␠	сщтеуче␠	context␠	correct	ukrainian-to-english
wrong-uk-en-020	en-corpus	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	corpus	corpus␠	сщкзгі␠	corpus␠	correct	ukrainian-to-english
native-uk-001	uk-pryvit	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	ghbdsn	ghbdsn␠	привіт␠	привіт␠	keep	-
native-uk-002	uk-world	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	cdsn	cdsn␠	світ␠	світ␠	keep	-
native-uk-003	uk-keyboard	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	rkfdsfnehf	rkfdsfnehf␠	клавіатура␠	клавіатура␠	keep	-
native-uk-004	uk-settings	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	yfkfinedfyyz	yfkfinedfyyz␠	налаштування␠	налаштування␠	keep	-
native-uk-005	uk-language	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	vjdf	vjdf␠	мова␠	мова␠	keep	-
native-uk-006	uk-accessibility	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	ljcnegyscnm	ljcnegyscnm␠	доступність␠	доступність␠	keep	-
native-uk-007	uk-privacy	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	ghbdfnyscnm	ghbdfnyscnm␠	приватність␠	приватність␠	keep	-
native-uk-008	uk-system	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	cbcntvf	cbcntvf␠	система␠	система␠	keep	-
native-uk-009	uk-application	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	pfcnjceyjr	pfcnjceyjr␠	застосунок␠	застосунок␠	keep	-
native-uk-010	uk-restart	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	gthtpfgecr	gthtpfgecr␠	перезапуск␠	перезапуск␠	keep	-
native-uk-011	uk-switcher	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	gthtvbrfx	gthtvbrfx␠	перемикач␠	перемикач␠	keep	-
native-uk-012	uk-correction	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	dbghfdktyyz	dbghfdktyyz␠	виправлення␠	виправлення␠	keep	-
native-uk-013	uk-browser	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	,hfepth	,hfepth␠	браузер␠	браузер␠	keep	-
native-uk-014	uk-website	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	cfqn	cfqn␠	сайт␠	сайт␠	keep	-
native-uk-015	uk-service	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	cke;,f	cke;,f␠	служба␠	служба␠	keep	-
native-uk-016	uk-model	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	vjltkm	vjltkm␠	модель␠	модель␠	keep	-
native-uk-017	uk-check	native-ukrainian	calibration	target-uk,native	builtin-uk-v1	ukrainian	gthtdshrf	gthtdshrf␠	перевірка␠	перевірка␠	keep	-
native-uk-018	uk-context	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	rjyntrcn	rjyntrcn␠	контекст␠	контекст␠	keep	-
native-uk-019	uk-ukrainian	native-ukrainian	evaluation	target-uk,native	builtin-uk-v1	ukrainian	erhf]ycmrf	erhf]ycmrf␠	українська␠	українська␠	keep	-
native-uk-020	uk-shvydko	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	idblrj	idblrj␠	швидко␠	швидко␠	keep	-
native-uk-021	uk-zakhid	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	pf[sl	pf[sl␠	захід␠	захід␠	keep	-
native-uk-022	uk-davai	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	lfdfq	lfdfq␠	давай␠	давай␠	keep	-
native-uk-023	uk-perevirymo	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	gthtdshbvj	gthtdshbvj␠	перевіримо␠	перевіримо␠	keep	-
native-uk-024	uk-chomu	native-ukrainian	regression	target-uk,native	builtin-uk-v1	ukrainian	xjve	xjve␠	чому␠	чому␠	keep	-
wrong-en-uk-001	uk-pryvit	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	ghbdsn	ghbdsn␠	ghbdsn␠	привіт␠	correct	english-to-ukrainian
wrong-en-uk-002	uk-world	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	cdsn	cdsn␠	cdsn␠	світ␠	correct	english-to-ukrainian
wrong-en-uk-003	uk-keyboard	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	rkfdsfnehf	rkfdsfnehf␠	rkfdsfnehf␠	клавіатура␠	correct	english-to-ukrainian
wrong-en-uk-004	uk-settings	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	yfkfinedfyyz	yfkfinedfyyz␠	yfkfinedfyyz␠	налаштування␠	correct	english-to-ukrainian
wrong-en-uk-005	uk-language	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	vjdf	vjdf␠	vjdf␠	мова␠	correct	english-to-ukrainian
wrong-en-uk-006	uk-accessibility	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	ljcnegyscnm	ljcnegyscnm␠	ljcnegyscnm␠	доступність␠	correct	english-to-ukrainian
wrong-en-uk-007	uk-privacy	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	ghbdfnyscnm	ghbdfnyscnm␠	ghbdfnyscnm␠	приватність␠	correct	english-to-ukrainian
wrong-en-uk-008	uk-system	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	cbcntvf	cbcntvf␠	cbcntvf␠	система␠	correct	english-to-ukrainian
wrong-en-uk-009	uk-application	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	pfcnjceyjr	pfcnjceyjr␠	pfcnjceyjr␠	застосунок␠	correct	english-to-ukrainian
wrong-en-uk-010	uk-restart	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	gthtpfgecr	gthtpfgecr␠	gthtpfgecr␠	перезапуск␠	correct	english-to-ukrainian
wrong-en-uk-011	uk-switcher	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	gthtvbrfx	gthtvbrfx␠	gthtvbrfx␠	перемикач␠	correct	english-to-ukrainian
wrong-en-uk-012	uk-correction	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	dbghfdktyyz	dbghfdktyyz␠	dbghfdktyyz␠	виправлення␠	correct	english-to-ukrainian
wrong-en-uk-013	uk-browser	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	,hfepth	,hfepth␠	,hfepth␠	браузер␠	correct	english-to-ukrainian
wrong-en-uk-014	uk-website	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	cfqn	cfqn␠	cfqn␠	сайт␠	correct	english-to-ukrainian
wrong-en-uk-015	uk-service	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	cke;,f	cke;,f␠	cke;,f␠	служба␠	correct	english-to-ukrainian
wrong-en-uk-016	uk-model	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	vjltkm	vjltkm␠	vjltkm␠	модель␠	correct	english-to-ukrainian
wrong-en-uk-017	uk-check	wrong-english-to-ukrainian	calibration	target-uk,wrong-layout,single-word	builtin-uk-v1	english	gthtdshrf	gthtdshrf␠	gthtdshrf␠	перевірка␠	correct	english-to-ukrainian
wrong-en-uk-018	uk-context	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	rjyntrcn	rjyntrcn␠	rjyntrcn␠	контекст␠	correct	english-to-ukrainian
wrong-en-uk-019	uk-ukrainian	wrong-english-to-ukrainian	evaluation	target-uk,wrong-layout,single-word	builtin-uk-v1	english	erhf]ycmrf	erhf]ycmrf␠	erhf]ycmrf␠	українська␠	correct	english-to-ukrainian
wrong-en-uk-020	uk-shvydko	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	idblrj	idblrj␠	idblrj␠	швидко␠	correct	english-to-ukrainian
wrong-en-uk-021	uk-zakhid	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	pf[sl	pf[sl␠	pf[sl␠	захід␠	correct	english-to-ukrainian
wrong-en-uk-022	uk-davai	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	lfdfq	lfdfq␠	lfdfq␠	давай␠	correct	english-to-ukrainian
wrong-en-uk-023	uk-perevirymo	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	gthtdshbvj	gthtdshbvj␠	gthtdshbvj␠	перевіримо␠	correct	english-to-ukrainian
wrong-en-uk-024	uk-chomu	wrong-english-to-ukrainian	regression	target-uk,wrong-layout,single-word	builtin-uk-v1	english	xjve	xjve␠	xjve␠	чому␠	correct	english-to-ukrainian
tech-native-001	tech-faang	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	FAANG	FAANG␠	FAANG␠	FAANG␠	keep	-
tech-native-002	tech-saas	technical-native	calibration	target-en,native,technical	builtin-uk-v1	english	SaaS	SaaS␠	SaaS␠	SaaS␠	keep	-
tech-native-003	tech-nasdaq	technical-native	calibration	target-en,native,technical	builtin-uk-v1	english	NASDAQ	NASDAQ␠	NASDAQ␠	NASDAQ␠	keep	-
tech-native-004	tech-iphone	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	iPhone	iPhone␠	iPhone␠	iPhone␠	keep	-
tech-native-005	tech-servicenow	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	ServiceNow	ServiceNow␠	ServiceNow␠	ServiceNow␠	keep	-
tech-native-006	tech-github	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	GitHub	GitHub␠	GitHub␠	GitHub␠	keep	-
tech-native-007	tech-rust	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	Rust	Rust␠	Rust␠	Rust␠	keep	-
tech-native-008	tech-apple	technical-native	calibration	target-en,native,technical	builtin-uk-v1	english	Apple	Apple␠	Apple␠	Apple␠	keep	-
tech-native-009	tech-windows	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	Windows	Windows␠	Windows␠	Windows␠	keep	-
tech-native-010	tech-linux	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	Linux	Linux␠	Linux␠	Linux␠	keep	-
tech-native-011	tech-macos	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	macOS	macOS␠	macOS␠	macOS␠	keep	-
tech-native-012	tech-codex	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	Codex	Codex␠	Codex␠	Codex␠	keep	-
tech-native-013	tech-openai	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	OpenAI	OpenAI␠	OpenAI␠	OpenAI␠	keep	-
tech-native-014	tech-api	technical-native	calibration	target-en,native,technical	builtin-uk-v1	english	API	API␠	API␠	API␠	keep	-
tech-native-015	tech-wasm	technical-native	calibration	target-en,native,technical	builtin-uk-v1	english	WASM	WASM␠	WASM␠	WASM␠	keep	-
tech-native-016	tech-npm	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	npm	npm␠	npm␠	npm␠	keep	-
tech-native-017	tech-github-domain	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	github.com	github.com␠	github.com␠	github.com␠	keep	-
tech-native-018	tech-rust-path	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	src/main.rs	src/main.rs␠	src/main.rs␠	src/main.rs␠	keep	-
tech-native-019	tech-url	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	https://example.com	https://example.com␠	https://example.com␠	https://example.com␠	keep	-
tech-native-020	tech-rust-expression	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	Vec::new	Vec::new␠	Vec::new␠	Vec::new␠	keep	-
tech-native-021	tech-package-json	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	package.json	package.json␠	package.json␠	package.json␠	keep	-
tech-native-022	tech-println	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	println	println␠	println␠	println␠	keep	-
tech-native-023	tech-windows-path	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	C:\Users\Dmytro\upyr	C:\Users\Dmytro\upyr␠	C:\Users\Dmytro\upyr␠	C:\Users\Dmytro\upyr␠	keep	-
tech-native-024	tech-camel	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	HTTPStatus	HTTPStatus␠	HTTPStatus␠	HTTPStatus␠	keep	-
tech-native-025	tech-snake-ish	technical-native	evaluation	target-en,native,technical	builtin-uk-v1	english	snake	snake␠	snake␠	snake␠	keep	-
tech-wrong-001	tech-faang	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	companies	FAANG␠companies␠	АФФТП␠сщьзфтшуі␠	FAANG␠companies␠	correct	ukrainian-to-english
tech-wrong-002	tech-saas	technical-wrong-layout	calibration	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	platform	SaaS␠platform␠	ІффІ␠здфеащкь␠	SaaS␠platform␠	correct	ukrainian-to-english
tech-wrong-003	tech-nasdaq	technical-wrong-layout	calibration	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	market	NASDAQ␠market␠	ТФІВФЙ␠ьфклуе␠	NASDAQ␠market␠	correct	ukrainian-to-english
tech-wrong-004	tech-iphone	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	device	iPhone␠device␠	шЗрщту␠вумшсу␠	iPhone␠device␠	correct	ukrainian-to-english
tech-wrong-005	tech-servicenow	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	platform	ServiceNow␠platform␠	ІукмшсуТщц␠здфеащкь␠	ServiceNow␠platform␠	correct	ukrainian-to-english
tech-wrong-006	tech-github	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	repository	GitHub␠repository␠	ПшеРги␠кузщішещкн␠	GitHub␠repository␠	correct	ukrainian-to-english
tech-wrong-007	tech-rust	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	compiler	Rust␠compiler␠	Кгіе␠сщьзшдук␠	Rust␠compiler␠	correct	ukrainian-to-english
tech-wrong-008	tech-windows	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	settings	Windows␠settings␠	Цштвщці␠іуеештпі␠	Windows␠settings␠	correct	ukrainian-to-english
tech-wrong-009	tech-linux	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	kernel	Linux␠kernel␠	Дштгч␠луктуд␠	Linux␠kernel␠	correct	ukrainian-to-english
tech-wrong-010	tech-macos	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	application	macOS␠application␠	ьфсЩІ␠фзздшсфешщт␠	macOS␠application␠	correct	ukrainian-to-english
tech-wrong-011	tech-openai	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	model	OpenAI␠model␠	ЩзутФШ␠ьщвуд␠	OpenAI␠model␠	correct	ukrainian-to-english
tech-wrong-012	tech-api	technical-wrong-layout	calibration	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	client	API␠client␠	ФЗШ␠сдшуте␠	API␠client␠	correct	ukrainian-to-english
tech-wrong-013	tech-wasm	technical-wrong-layout	calibration	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	module	WASM␠module␠	ЦФІЬ␠ьщвгду␠	WASM␠module␠	correct	ukrainian-to-english
tech-wrong-014	tech-npm	technical-wrong-layout	evaluation	target-en,wrong-layout,technical,context	builtin-uk-v1	ukrainian	package	npm␠package␠	тзь␠зфслфпу␠	npm␠package␠	correct	ukrainian-to-english
name-native-en-1	name-olha	proper-names	regression	target-en,native,proper-name	builtin-uk-v1	english	Olha	Olha␠	Olha␠	Olha␠	keep	-
name-native-uk-1	name-olha	proper-names	regression	target-uk,native,proper-name	builtin-uk-v1	ukrainian	Jkmuf	Jkmuf␠	Ольга␠	Ольга␠	keep	-
name-wrong-en-uk-1	name-olha	proper-names	regression	target-uk,wrong-layout,proper-name	builtin-uk-v1	english	Jkmuf	Jkmuf␠	Jkmuf␠	Ольга␠	correct	english-to-ukrainian
name-wrong-uk-en-1	name-olha	proper-names	regression	target-en,wrong-layout,proper-name	builtin-uk-v1	ukrainian	Olha	Olha␠	Щдрф␠	Olha␠	correct	ukrainian-to-english
name-native-en-2	name-dmytro	proper-names	calibration	target-en,native,proper-name	builtin-uk-v1	english	Dmytro	Dmytro␠	Dmytro␠	Dmytro␠	keep	-
name-native-uk-2	name-dmytro	proper-names	calibration	target-uk,native,proper-name	builtin-uk-v1	ukrainian	Lvbnhj	Lvbnhj␠	Дмитро␠	Дмитро␠	keep	-
name-wrong-en-uk-2	name-dmytro	proper-names	calibration	target-uk,wrong-layout,proper-name	builtin-uk-v1	english	Lvbnhj	Lvbnhj␠	Lvbnhj␠	Дмитро␠	correct	english-to-ukrainian
name-wrong-uk-en-2	name-dmytro	proper-names	calibration	target-en,wrong-layout,proper-name	builtin-uk-v1	ukrainian	Dmytro	Dmytro␠	Вьнекщ␠	Dmytro␠	correct	ukrainian-to-english
name-native-en-3	name-kyiv	proper-names	evaluation	target-en,native,proper-name	builtin-uk-v1	english	Kyiv	Kyiv␠	Kyiv␠	Kyiv␠	keep	-
name-native-uk-3	name-kyiv	proper-names	evaluation	target-uk,native,proper-name	builtin-uk-v1	ukrainian	Rb]d	Rb]d␠	Київ␠	Київ␠	keep	-
name-wrong-en-uk-3	name-kyiv	proper-names	evaluation	target-uk,wrong-layout,proper-name	builtin-uk-v1	english	Rb]d	Rb]d␠	Rb]d␠	Київ␠	correct	english-to-ukrainian
name-wrong-uk-en-3	name-kyiv	proper-names	evaluation	target-en,wrong-layout,proper-name	builtin-uk-v1	ukrainian	Kyiv	Kyiv␠	Лншм␠	Kyiv␠	correct	ukrainian-to-english
name-native-en-4	name-ukraine	proper-names	evaluation	target-en,native,proper-name	builtin-uk-v1	english	Ukraine	Ukraine␠	Ukraine␠	Ukraine␠	keep	-
name-native-uk-4	name-ukraine	proper-names	evaluation	target-uk,native,proper-name	builtin-uk-v1	ukrainian	Erhf]yf	Erhf]yf␠	Україна␠	Україна␠	keep	-
name-wrong-en-uk-4	name-ukraine	proper-names	evaluation	target-uk,wrong-layout,proper-name	builtin-uk-v1	english	Erhf]yf	Erhf]yf␠	Erhf]yf␠	Україна␠	correct	english-to-ukrainian
name-wrong-uk-en-4	name-ukraine	proper-names	evaluation	target-en,wrong-layout,proper-name	builtin-uk-v1	ukrainian	Ukraine	Ukraine␠	Глкфшту␠	Ukraine␠	correct	ukrainian-to-english
punct-native-en-1	punct-en-hello-comma	punctuation	evaluation	target-en,native,punctuation	builtin-uk-v1	english	hello,	hello,␠	hello,␠	hello,␠	keep	-
punct-native-en-2	punct-en-world-period	punctuation	evaluation	target-en,native,punctuation	builtin-uk-v1	english	world.	world.␠	world.␠	world.␠	keep	-
punct-native-en-3	punct-en-settings-semicolon	punctuation	evaluation	target-en,native,punctuation	builtin-uk-v1	english	settings;	settings;␠	settings;␠	settings;␠	keep	-
punct-native-uk-1	punct-uk-pryvit-comma	punctuation	evaluation	target-uk,native,punctuation,physical-map	builtin-uk-v1	ukrainian	ghbdsn?	ghbdsn?␠	привіт,␠	привіт,␠	keep	-
punct-native-uk-2	punct-uk-world-period	punctuation	evaluation	target-uk,native,punctuation,physical-map	builtin-uk-v1	ukrainian	cdsn/	cdsn/␠	світ.␠	світ.␠	keep	-
punct-native-uk-3	punct-uk-settings-period	punctuation	evaluation	target-uk,native,punctuation,physical-map	builtin-uk-v1	ukrainian	yfkfinedfyyz/	yfkfinedfyyz/␠	налаштування.␠	налаштування.␠	keep	-
punct-wrong-en-uk-1	punct-uk-pryvit-comma	punctuation	evaluation	target-uk,wrong-layout,punctuation,physical-map	builtin-uk-v1	english	ghbdsn?	ghbdsn?␠	ghbdsn?␠	привіт,␠	correct	english-to-ukrainian
punct-wrong-en-uk-2	punct-uk-world-period	punctuation	evaluation	target-uk,wrong-layout,punctuation,physical-map	builtin-uk-v1	english	cdsn/	cdsn/␠	cdsn/␠	світ.␠	correct	english-to-ukrainian
